"{""follow_request_sent"": false, ""has_extended_profile"": false, ""profile_use_background_image"": true, ""profile_text_color"": ""333333"", ""default_profile_image"": false, ""id"": 724689969793605633, ""profile_background_image_url_https"": null, ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": null, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/725016218885865472/Qh-D-Dcn_normal.jpg"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""entities"": {""description"": {""urls"": []}}, ""followers_count"": 5, ""profile_sidebar_border_color"": ""C0DEED"", ""id_str"": ""724689969793605633"", ""profile_background_color"": ""F5F8FA"", ""listed_count"": 0, ""status"": {""contributors"": null, ""truncated"": false, ""text"": "".@CaptainAmerica I stand with #TeamCap. #TweetMe\nhttps://t.co/etk20ffSpa"", ""is_quote_status"": false, ""in_reply_to_status_id"": null, ""id"": 726757412330455044, ""favorite_count"": 0, ""source"": ""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>"", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [{""id"": 701615052, ""indices"": [1, 16], ""id_str"": ""701615052"", ""screen_name"": ""CaptainAmerica"", ""name"": ""Captain America""}], ""hashtags"": [{""indices"": [30, 38], ""text"": ""TeamCap""}, {""indices"": [40, 48], ""text"": ""TweetMe""}], ""urls"": [{""url"": ""https://t.co/etk20ffSpa"", ""indices"": [49, 72], ""expanded_url"": ""https://cards.twitter.com/cards/18ce53uoubv/1l9fu"", ""display_url"": ""cards.twitter.com/cards/18ce53uo\u2026""}]}, ""in_reply_to_screen_name"": null, ""in_reply_to_user_id"": null, ""retweet_count"": 0, ""id_str"": ""726757412330455044"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": null, ""possibly_sensitive"": false, ""lang"": ""en"", ""created_at"": ""Sun May 01 12:57:24 +0000 2016"", ""in_reply_to_status_id_str"": null, ""place"": null}, ""is_translation_enabled"": false, ""utc_offset"": null, ""statuses_count"": 22, ""description"": """", ""friends_count"": 14, ""location"": """", ""profile_link_color"": ""2B7BB9"", ""profile_image_url"": ""http://pbs.twimg.com/profile_images/725016218885865472/Qh-D-Dcn_normal.jpg"", ""following"": false, ""geo_enabled"": false, ""profile_background_image_url"": null, ""name"": ""Camille Cobb/K.C."", ""lang"": ""en"", ""profile_background_tile"": false, ""favourites_count"": 20, ""screen_name"": ""CamilleCobb19"", ""notifications"": false, ""url"": null, ""created_at"": ""Mon Apr 25 20:02:08 +0000 2016"", ""contributors_enabled"": false, ""time_zone"": null, ""protected"": false, ""default_profile"": true, ""is_translator"": false}"
".@CaptainAmerica I stand with #TeamCap. #TweetMe
https://t.co/etk20ffSpa"
@TheEllenShow @TraceeEllisRoss is funny but rude.
"@katyperry,that video was terrible  (and boring and avoiding privacy moments."
"@rihanna,please call American Idol to register Camille Cobb on January 4, please contact me when you do"
"@rihanna , why does every guy that sees u warm up to you weird question huh."
"@MileyCyrus,how are you doing i contacted you yesterday evening do you hate me or something???!?!?!??!?!?!?!"
"@kerrywashington, I hope you had a good education said that look like you are real happy and it looks like you got A plus plus plus"
"@ddlovato,hey dems how are you doing i know you are probably thinking that I am lame but I hope that I am on your page 😢😢😢😢"
"@kerrywashington,FYI,today is National pretzel day"
"@kerrywashington,do you know where we can get free pretzels"
"@kerrywashington,so u r pretty much good with everyone, huh?
Lucky enough, lucky girl . Can i call u girlfriend"
"@JOEtheMORTON, girl you look young how old are you are you like in your teens or are you younger?"
"@kerrywashington @sunchick116, hey Kerry Washington hey girl how you doing girl I know how you doing I know you movies you rock"
"@HPE_SMB,so that prince had to die,right? ""In love for the death of Prince"" . Sleep in peace Prince of pop"
"@MileyCyrus, I hope you call me I'm going to tell you later okay by Miley"
"@MileyCyrus, what's up Miley Cyrus soooooooooooooo any way biggest fan and sooo
glad you are on  my page name's k.c. a girl !!!"
"@TheEllenShow, I need to be on your show mostly cuz I'm your biggest fan and I love you it's mostly because you're the coolest girl"
@TheEllenShow I totally agree with that statement mostly because life is the hardest thing on earth
@TheEllenShow I agree if you so much as that statement was because life is the hardest thing on earth I know it because I have gone through
@TheEllenShow i agree with that statement
