"{""follow_request_sent"": false, ""has_extended_profile"": false, ""profile_use_background_image"": true, ""profile_text_color"": ""333333"", ""default_profile_image"": false, ""id"": 378345425, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": null, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/1564721710/me_20n_20wai_normal.jpg"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""entities"": {""description"": {""urls"": []}}, ""followers_count"": 376, ""profile_sidebar_border_color"": ""C0DEED"", ""id_str"": ""378345425"", ""profile_background_color"": ""C0DEED"", ""listed_count"": 10, ""status"": {""contributors"": null, ""truncated"": false, ""text"": ""I've collected 12,110 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"", ""is_quote_status"": false, ""in_reply_to_status_id"": null, ""id"": 726880511537205249, ""favorite_count"": 0, ""source"": """", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [], ""hashtags"": [{""indices"": [59, 67], ""text"": ""android""}, {""indices"": [69, 82], ""text"": ""androidgames""}, {""indices"": [84, 96], ""text"": ""gameinsight""}], ""urls"": [{""url"": ""https://t.co/INSrq0rnw0"", ""indices"": [35, 58], ""expanded_url"": ""http://gigam.es/imtw_Tribez"", ""display_url"": ""gigam.es/imtw_Tribez""}]}, ""in_reply_to_screen_name"": null, ""in_reply_to_user_id"": null, ""retweet_count"": 0, ""id_str"": ""726880511537205249"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": null, ""possibly_sensitive"": false, ""lang"": ""en"", ""created_at"": ""Sun May 01 21:06:33 +0000 2016"", ""in_reply_to_status_id_str"": null, ""place"": null}, ""is_translation_enabled"": false, ""utc_offset"": -14400, ""statuses_count"": 2709, ""description"": """", ""friends_count"": 1905, ""location"": ""VA"", ""profile_link_color"": ""0084B4"", ""profile_image_url"": ""http://pbs.twimg.com/profile_images/1564721710/me_20n_20wai_normal.jpg"", ""following"": false, ""geo_enabled"": false, ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""name"": ""Tamika"", ""lang"": ""en"", ""profile_background_tile"": false, ""favourites_count"": 1914, ""screen_name"": ""WaiWai2muc"", ""notifications"": false, ""url"": null, ""created_at"": ""Fri Sep 23 01:43:55 +0000 2011"", ""contributors_enabled"": false, ""time_zone"": ""America/New_York"", ""protected"": false, ""default_profile"": true, ""is_translator"": false}"
"I've collected 12,110 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've collected 10,069 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I have completed the quest 'In Search of Tre...' in the #Android game The Tribez.  https://t.co/INSrq0rnw0 #androidgames, #gameinsight"
"I've harvested 2,008 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've collected 11,271 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 2,204 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 1,503 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"You've expanded your domain! https://t.co/INSrq0rnw0  #androidgames, #gameinsight"
"I have discovered a new territory in The Tribez! https://t.co/INSrq0rnw0  #android, #androidgames, #gameinsight"
"I managed to chase enemies from the village! https://t.co/INSrq0rnw0  #androidgames, #gameinsight"
"I've harvested 1,329 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've collected 45,470 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0rnw0  #androidgames, #gameinsight"
"I've collected 362 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 851 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
Accurately describing your emotions to others may be nearly im... More for Cancer https://t.co/XWm6zKcexd
"I've harvested 845 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've collected 203,997 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I managed to chase enemies from the village! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've harvested 195 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 75 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 15 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I have completed the quest 'Bring your popul...' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've collected 2,000 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"Complicated family matters require your attention today, even ... More for Cancer https://t.co/XWm6zKcexd"
