"{""follow_request_sent"": false, ""has_extended_profile"": false, ""profile_use_background_image"": true, ""profile_text_color"": ""333333"", ""default_profile_image"": false, ""id"": 2827388201, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": null, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/722977794804879360/JsCrO_xJ_normal.jpg"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""entities"": {""description"": {""urls"": []}}, ""followers_count"": 14, ""profile_sidebar_border_color"": ""C0DEED"", ""id_str"": ""2827388201"", ""profile_background_color"": ""C0DEED"", ""listed_count"": 1, ""status"": {""contributors"": null, ""truncated"": false, ""text"": ""Patrick &amp; Sarah @ Rolex 2016. Hard work pays off!\ud83d\ude0a\ud83d\udc34 https://t.co/QgN3IIgusX"", ""is_quote_status"": false, ""in_reply_to_status_id"": null, ""id"": 726988023498432513, ""favorite_count"": 0, ""source"": ""<a href=\""http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>"", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [], ""hashtags"": [], ""urls"": [], ""media"": [{""expanded_url"": ""http://twitter.com/bullittvet/status/726988023498432513/photo/1"", ""display_url"": ""pic.twitter.com/QgN3IIgusX"", ""url"": ""https://t.co/QgN3IIgusX"", ""media_url_https"": ""https://pbs.twimg.com/media/ChbHrEnW0AAlkjO.jpg"", ""id_str"": ""726987932654030848"", ""sizes"": {""large"": {""h"": 1136, ""resize"": ""fit"", ""w"": 640}, ""small"": {""h"": 604, ""resize"": ""fit"", ""w"": 340}, ""medium"": {""h"": 1065, ""resize"": ""fit"", ""w"": 600}, ""thumb"": {""h"": 150, ""resize"": ""crop"", ""w"": 150}}, ""indices"": [56, 79], ""type"": ""photo"", ""id"": 726987932654030848, ""media_url"": ""http://pbs.twimg.com/media/ChbHrEnW0AAlkjO.jpg""}]}, ""in_reply_to_screen_name"": null, ""in_reply_to_user_id"": null, ""retweet_count"": 0, ""id_str"": ""726988023498432513"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": null, ""possibly_sensitive"": false, ""lang"": ""en"", ""created_at"": ""Mon May 02 04:13:46 +0000 2016"", ""in_reply_to_status_id_str"": null, ""place"": null, ""extended_entities"": {""media"": [{""expanded_url"": ""http://twitter.com/bullittvet/status/726988023498432513/photo/1"", ""display_url"": ""pic.twitter.com/QgN3IIgusX"", ""url"": ""https://t.co/QgN3IIgusX"", ""media_url_https"": ""https://pbs.twimg.com/media/ChbHrEnW0AAlkjO.jpg"", ""id_str"": ""726987932654030848"", ""sizes"": {""large"": {""h"": 1136, ""resize"": ""fit"", ""w"": 640}, ""small"": {""h"": 604, ""resize"": ""fit"", ""w"": 340}, ""medium"": {""h"": 1065, ""resize"": ""fit"", ""w"": 600}, ""thumb"": {""h"": 150, ""resize"": ""crop"", ""w"": 150}}, ""indices"": [56, 79], ""type"": ""photo"", ""id"": 726987932654030848, ""media_url"": ""http://pbs.twimg.com/media/ChbHrEnW0AAlkjO.jpg""}]}}, ""is_translation_enabled"": false, ""utc_offset"": null, ""statuses_count"": 354, ""description"": """", ""friends_count"": 88, ""location"": """", ""profile_link_color"": ""0084B4"", ""profile_image_url"": ""http://pbs.twimg.com/profile_images/722977794804879360/JsCrO_xJ_normal.jpg"", ""following"": false, ""geo_enabled"": true, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/2827388201/1461206483"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""name"": ""Jessica Schaaf"", ""lang"": ""en"", ""profile_background_tile"": false, ""favourites_count"": 1012, ""screen_name"": ""bullittvet"", ""notifications"": false, ""url"": null, ""created_at"": ""Mon Oct 13 13:02:40 +0000 2014"", ""contributors_enabled"": false, ""time_zone"": null, ""protected"": false, ""default_profile"": true, ""is_translator"": false}"
Patrick &amp; Sarah @ Rolex 2016. Hard work pays off!😊🐴 https://t.co/QgN3IIgusX
@ryanwork99 @JermaineCurtis  hard work pays off!
@SecretaryJewell @NatlParkService  Please protect our national treasure-- wild mustangs!   Rescued from slaughter... https://t.co/V33ZiQ1nFy
"@LouisvilleBats @JermaineCurtis  YAY, Jermaine!!!"
@JermaineCurtis   Epsom salts are wonderful! And hot tubs too:))
"@JermaineCurtis    Looks like good weather here tomorrow!!!    Maybe I can get all my work done on my "" day off"" so that I can see the game!"
"My special Sparkle&amp; Fredbird, watching the STL home opener. Sparkle has lymphoma, only weeks to live. Retweet please https://t.co/YNKscfYIoj"
@Pontifex    Well said! I love you and your attitude
"@JermaineCurtis    Well, this way your fans in Louisville get to come watch you play BEFORE you go up!"
@FLOTUS   Could you PLEASE have a 50ish women's Healthy food State Dinner too????😊😊
"@Cardinals Get well soon, Jose!"
@JermaineCurtis Bad days give us the opportunity to learn....
"@PerezEd    Watching now.... So proud and happy for you and your family! Thank you, President Obama!!!"
@HannahStormESPN @PerezEd @SportsCenter   Wonderful that you got to make this special trip.
@PerezEd @pedrogomezESPN @HannahStormESPN amazing!!!
I already miss John Jay.... HBP.... On base...
@JermaineCurtis     Watching!!!! Good luck!
@JermaineCurtis  Enjoy playing in nice weather while you can!    Brrrr in Louisville....
@POTUS  I can't wait to hear how you and your family spent your first night in Cuba!! Que bueno! Quiero viajar a Cuba tambien....
"@BillWeirCNN  My mother visited Cuba in 1954, 5 years before I was born. I can't wait to visit Cuba &amp; the places in her photos &amp; brochures!"
@NPR @HorsleyScott @POTUS   Wish I could be there too! Someday!
@PerezEd   Opening up relations between the US and Cuba will ultimately help both countries!❤️
@PerezEd  Muy emocianado!!!! Que bueno!!!
"@JermaineCurtis   Ozzie will always be my favorite!!! Great respect for Barry Larkin too, but not a Cardinal! You have great mentors!"
"@Abramson44 @CityRochesterNY @letsmove @leagueofcities     How can I help Shepherdsville, Ky be a "" Let's Move"" city? It needs help!"
Pete Rose: Your autograph just lost all worth.
"Never want to look at another employment app, or their stupid FB pages. Save me from stupidity! #badweek"
@JermaineCurtis   Lookin' Great!!! Ready gor opening day baseball!!
@NPR    Trying to decide which country I should move to...... So embarassing for me to live in Ky now.... Bevin and Trump..... Horrible!!
"@KenRosenthal___ @STL_Cards_nut     ""Damn Yankees"""
@akaWorf   Pareses squares
I guess that the Super Bowl people think that nobody can read Roman Numerals anymore? I liked the tradition and the look!
@PerezEd @BascomPalmerEye     Worse than the achilles tendon?    Get well soon!!!!
"@JermaineCurtis   Hard work, but "" the Show"" is worth it:))"
"@JermaineCurtis   Great men, Jermaine!!! Follow YOUR dream!!"
@UncleCharlie50 https://t.co/n4EosDVgQ8
4 weeks ago I saved 2 mustangs from a kill pen in Louisiana. They were on their way to slaughter in Mexico. https://t.co/ztjJKgKsPV
"@Team_Bautista    Just like "" Super Patrick""!!!! https://t.co/Bc3pJ8ADnF"
"@ReggieSanders   Reggieeee, reggieeee:)).   Good memories!!!"
@Shredderpunto     What a wonderful guy you are!
"@UncleCharlie50 happy to have you playing, Adam!!!"
Harold is resting up to watch game 2 of the doubleheader:) http://t.co/N3DvheINJB
@POTUS     So sad that most schools now kill all creativity in kids. Can't wait to see him at the White House and Nasa!!
@STLWizard @DannyMacTV @BoyzIIMen @PeabodyOperaSTL     Really enjoyed the interview!!
@WFPLNews @NPR    So tired of another idiotic disgrace to our state.... Please just GO AWAY!
What better way to spend the evening than with Fletch and Fletch Lives!!!     Feeling better:))
"What the heck, Cards??    It's the REDS.........!!!!!!"
"Harold fell asleep while the Cards were still winning 1-0.  Good choice, Harold. Sigh.... http://t.co/f1fjTtpMc5"
@DannyMacTV @FSMidwest    Great to have Matt Holliday....
@MotherSassy     I hope that's where you go..... Jimmy Carter has done more good in his life than you can even dream of doing.    Hater....
@smarvinnn    I have 2 unopened cans in my cabinet:))
@Cajun_peach and nobody even knows who YOU are.... So there's that!
@DannyMacTV @Cardinals @STLWizard   I soooo wanted to be there:((      Hi to Ozzie and Willie from a true fan!
"Nice ovation for Skip Shumaker by the Cardinals fans...... They have class, just like Skip."
Beware of dentist who is prepping to be a serial killer.......Who knows who his NEXT victim will be!!
