sebsmytheaNDes,hillaryclinton
ILxcPIBxgd6i4xb,berniesanders
AngieRMaynard,realdonaldtrump
Mike_Robb2,berniesanders
ScottyGross8,hillaryclinton
JoshTeman14,hillaryclinton
Kaylacolleen1,realdonaldtrump
mickymausmllb,berniesanders
Janelle88fan,berniesanders
williams_ragan,hillaryclinton
JohnRawlingsTV,hillaryclinton
GraceMartin___,berniesanders
iHateDanae,berniesanders
Damagedg00ds247,berniesanders
holdmelouiss,berniesanders
kayla_rieman,
_princeeeee,hillaryclinton
AlmudenaAG,berniesanders
Lima_Naveau,
YesTHATChance,realdonaldtrump
InaRin7,berniesanders
AWisch12,berniesanders
sapphicDJ,berniesanders
Zentar,berniesanders
AliffAiman_,
BrittanyNDes,hillaryclinton
_CoDiddy,berniesanders
limanews,
WilhelmJordan,realdonaldtrump
t_greenfeather,
ReynaMartin20,hillaryclinton
MclainEastonbil,hillaryclinton
jwoldfamily,
quovock,berniesanders
hottestsmythe,berniesanders
undeservedhit,hillaryclinton
_doty14,berniesanders
daltonljohnston,berniesanders
Cole_Arroyo,berniesanders
SSUSAJoe,hillaryclinton
DustinRieman3,
jnewby15,berniesanders
ToddWalkerWIMA,realdonaldtrump
crescentsports,berniesanders
libby_justus,
BlaineANDes,hillaryclinton
FTGiGSJobs,realdonaldtrump
Jessica_Mariee4,berniesanders
__GShit,realdonaldtrump
GPL_,
c_zoltowski,berniesanders
eddiekilroyjr,berniesanders
Blackstorm_tw,
tyrellhenson1,berniesanders
LiamPayneNDes,berniesanders
_claytonhawkins,berniesanders
_lainiaaa,hillaryclinton
Br_Matos_,berniesanders
aleciler,
andylynch44,
julienb_6,hillaryclinton
BrosephRx,
EROSETAKEOVER,berniesanders
MattFinkel44,berniesanders
MarkKunz44,
DignifiedPurity,berniesanders
baileyyaustin,berniesanders
MackHardRd,berniesanders
Daniella7300,realdonaldtrump
Fxbrxy_NDes,
joshujon,
Burgi559,hillaryclinton
DJ___Sky,berniesanders
DHurley1991,
Swishergirl24,
smalltgleek,berniesanders
KearstinBarry,berniesanders
orionsthera,
mtt516,berniesanders
ScizorS,berniesanders
whitney_wise05,berniesanders
abone149,berniesanders
dee_voitus18,
BoLd2_Krieg_kr,berniesanders
HyperionNewU,realdonaldtrump
saaahleste,
AJHuck,
jared_poling5,hillaryclinton
JustinGuarini,berniesanders
_hannnnnnahh__,berniesanders
caypaige13,berniesanders
Jenna_German16,hillaryclinton
davids_based,berniesanders
taytayaur,realdonaldtrump
TeamStomp,
ChadParkins83,berniesanders
10kcjo,berniesanders
Hhwarmshart5a,berniesanders
GimmieTheLutz,berniesanders
brayden_mcclure,berniesanders
douce_breanne,hillaryclinton
Emmaa_32,berniesanders
AmyIkerd,berniesanders
SantanaLopez_kr,
Only_3Wishes,berniesanders
shaunarich_,berniesanders
SlyghJustin,berniesanders
haleymarieroe,berniesanders
aye_im_deijah,berniesanders
hailsnicolee,berniesanders
BullocKatie,
hayley_lydia,
RazorBlazen,berniesanders
tmg_xoxo,berniesanders
Zer0__Bot,berniesanders
cheey_klaus12,berniesanders
KenPoling,berniesanders
BlaineA_Bot,berniesanders
Kennedie14,realdonaldtrump
Andrewbowman44,hillaryclinton
RobBearToe,
BronyAwakening,hillaryclinton
Scott_Snyder16,
SPNcrossroad,
Adam725Adam,berniesanders
austinsheeter,berniesanders
__okemily,berniesanders
b_widmaier,
RaquelC2001,hillaryclinton
_emiilymariie,berniesanders
rochelletheriau,berniesanders
kort10knee,berniesanders
CJarmander,berniesanders
Stephh_Daviis,berniesanders
dandrew5,berniesanders
droidbears,berniesanders
cassyl2011,
emily_e143,berniesanders
kateemick,berniesanders
kheckman,berniesanders
B24Howe,realdonaldtrump
RyderLynnMHS,berniesanders
