BradleePrather,realdonaldtrump
lisaelliott2012,berniesanders
Teapot_Lady,hillaryclinton
richmangrace21,hillaryclinton
HayleyLeeth,berniesanders
hakym0000,
seswarriors,hillaryclinton
peters5589,
kayleebarrett9,berniesanders
DaveJensen10,
TehanWoglake,berniesanders
caBolton32,berniesanders
PawLovePetSit,
OwensC15,berniesanders
jam_meier,
CrownedMaraj,realdonaldtrump
StillwellTaylor,berniesanders
tottoko11040,hillaryclinton
Shelbi7,berniesanders
tkrekblue,berniesanders
PlanetEarth555,realdonaldtrump
leppert_brie,berniesanders
jcollins2481,berniesanders
debaseghost,
jnscoulter,berniesanders
HDivOOgRoiCoQTs,hillaryclinton
thekcarter_,berniesanders
spencerbotts,hillaryclinton
steephhxoxo,realdonaldtrump
meganeltuko7,hillaryclinton
naruto4658,realdonaldtrump
juliamr09,berniesanders
KingSansRyan,hillaryclinton
MagicMetalNinja,
Imakemygirlwet,berniesanders
yumidorian,berniesanders
plathitude,realdonaldtrump
nauticalportal,berniesanders
LoriSams2,realdonaldtrump
ashleyymooree20,berniesanders
TheNumberIsXIV,berniesanders
ryu_karin,berniesanders
TheUngerWithin,berniesanders
carlywagers,hillaryclinton
lindsey5810,realdonaldtrump
josh598208,berniesanders
lexilynnjamison,berniesanders
mdailey09,
SpeedwayJobs,berniesanders
PunishedWizard,
leeesa_p,berniesanders
ColeSchaefer2,hillaryclinton
sadebud,berniesanders
KennedyMichele,berniesanders
Panther43,berniesanders
booknerdcarp,berniesanders
Amleth100,berniesanders
jadentreney,berniesanders
WildcatFp,
Afulton018,
Sneakerhead523,hillaryclinton
Laura04575402,berniesanders
thenoahpack,hillaryclinton
Destiny_P_,berniesanders
MariaSleiby,berniesanders
Dowling11Sarah,berniesanders
AlexaShortstac,
teetaweewa,berniesanders
__erinrobinson,hillaryclinton
hailb10,hillaryclinton
TallyWainscott,realdonaldtrump
jimmyraymondd,berniesanders
CaitCanCareLess,berniesanders
rodrigonegao1,
codyhall14,berniesanders
itukanoshigeru,berniesanders
M_a_davis25,berniesanders
RyanKMeeker,berniesanders
micaelmorais,berniesanders
rachaeldaniel24,hillaryclinton
NotBrycePearson,realdonaldtrump
ChelseaBarrett5,berniesanders
RachaelDani,berniesanders
