MedicineMan25,realdonaldtrump
WWSUBoone,hillaryclinton
Qtucker_00,realdonaldtrump
OhHeyIts_Megan,berniesanders
robinstillrocks,berniesanders
AdamGaver,berniesanders
bsterzenbach,berniesanders
SiddersTimmy,
McKenzieF27,hillaryclinton
Stephen_falcon,realdonaldtrump
The_Clark_Bar,berniesanders
Z_Reed_32,berniesanders
AaronChivington,hillaryclinton
kinleighann12,
FairbornUMC,berniesanders
MarvinDupreeJr,berniesanders
sentinac,berniesanders
asillydreamer1,
Ducks_SHR4,
kinhalt1221,realdonaldtrump
jcpayne_5,berniesanders
Fairborn_SRO,berniesanders
modernancientAB,hillaryclinton
pastorhys,realdonaldtrump
Frankerzz243,berniesanders
shady_sadie,berniesanders
CMoAdams,berniesanders
lauren18nicole,berniesanders
mary_mary098,
Lylacler,berniesanders
Kinda_Famous1,berniesanders
Fairborn_News,berniesanders
WilberforceDMR,berniesanders
PastorAdamPage,berniesanders
kristinbih,hillaryclinton
chriskwright,
23bstuart,berniesanders
marcusborton,realdonaldtrump
DylanNaufahu,realdonaldtrump
springfieldnews,berniesanders
ltoms79,berniesanders
Tom_Rhett,berniesanders
WakkaCiccone,
WaltersDamon,
Xavierinho_13,berniesanders
HMClarkeAuthor,berniesanders
LeosRaps,berniesanders
FairbornOH,hillaryclinton
PhyllisBoyce2,berniesanders
aprilbennettbks,berniesanders
belindakenley,berniesanders
togetherforlife,berniesanders
ncmorrow2019,
beccahawkins34,hillaryclinton
Trash_Boat2,hillaryclinton
amyclarerad,berniesanders
elysiasmith13,berniesanders
jada_harden,berniesanders
GivensDereck,berniesanders
BigTrim7,berniesanders
VolatileWitness,hillaryclinton
tayhorton1,berniesanders
captainvadti,berniesanders
dwaltersvball,hillaryclinton
kayleewilliams_,
mojomnx,
kayraebaybay,berniesanders
GrantSmith_1413,hillaryclinton
langel993,berniesanders
WSU_SW_DEPT,
ToriDonaldson1,tedcruz
BaseballGreen,berniesanders
jl_realty,hillaryclinton
_courtcyphers0,
ChronoArk,berniesanders
AnnaCinderblock,hillaryclinton
maggie_neuman,berniesanders
1410Aaron,berniesanders
omgitshkb,berniesanders
carliegrim11,realdonaldtrump
SprngFldOH_Buzz,berniesanders
jlhenry62,berniesanders
Fairborn4th5th,berniesanders
em_hendd,berniesanders
nikkiajacks0n,berniesanders
JDotUnderwood,berniesanders
MichellePencil,berniesanders
deviumrocks,
sknightxo,berniesanders
IAFFLocal1235,berniesanders
heylauraa,
S_Davis24,berniesanders
Code_Orange23,berniesanders
Art_by_Me,realdonaldtrump
BarthLeonidas,hillaryclinton
brittanylenay,hillaryclinton
SpaceAvian,berniesanders
thispinebox,realdonaldtrump
thefakeshenry,berniesanders
casey_erdman24,berniesanders
ThadSnod1,berniesanders
JonUmstead,
cpazyn,berniesanders
jalenfultz15,berniesanders
tyhaines16,berniesanders
DRExyz,
bpurk17,realdonaldtrump
KrystaNoelll,berniesanders
AddieSmyth,berniesanders
jake_culp,berniesanders
_LaDarius24,realdonaldtrump
JonathonGarris3,berniesanders
romanroyce,berniesanders
RobSummers33,berniesanders
marissapugh_,
drowninapuddle,realdonaldtrump
Damonte_m,
thethhron,hillaryclinton
melissarunkle,berniesanders
lauryanharris,berniesanders
BarlowKatherine,berniesanders
vilden98,berniesanders
D_wat_,berniesanders
zeninpain,
ittiebittie1121,realdonaldtrump
XxDawg_PoundxX,berniesanders
Zach_Bindus,berniesanders
hioktane,berniesanders
shelbylouis23,berniesanders
shaay_mariie,berniesanders
Smile_izer,berniesanders
amaribee99,berniesanders
mopar990,berniesanders
RickLeeJames,hillaryclinton
jneffstrisbeast,
NJovonovichWHIO,realdonaldtrump
ApostoliCountry,berniesanders
zach_vernon,hillaryclinton
ElizabethKing2,berniesanders
