Soren78000,
terryrubbins,berniesanders
leahsims17,berniesanders
Berry_mark4,
WhoThaat_,berniesanders
Iris_Elisabeth_,berniesanders
CraftyBiggers,berniesanders
spoiltfond,hillaryclinton
love_u_love_,berniesanders
HaydenMe52er,berniesanders
hannahmuck14,berniesanders
kenedi_hardy,berniesanders
allyrumors,berniesanders
chwrisevans,hillaryclinton
HeyImMegann_,berniesanders
rayneopperman,berniesanders
Rondalep,
lmIyjade,
jasonbaker1997,realdonaldtrump
evanxlviii,berniesanders
jennnorwood,berniesanders
ItsNotHarold,berniesanders
fougla,berniesanders
crewelite9,realdonaldtrump
Camster_Smith,hillaryclinton
14_marilynn,berniesanders
dolores_bieberr,berniesanders
Alyssa_Ronaldo,
LotteryPoolTeam,berniesanders
wolfie0728,
hayleymotley,hillaryclinton
Jarred_31,berniesanders
itsDomParadise,realdonaldtrump
Jay_Beyer14,berniesanders
tmj_chh_cstsrv,hillaryclinton
BenYee7,berniesanders
KylieJacobs25,
alltime_annie,berniesanders
kateraakateraa,berniesanders
farmerblake97,
__Zoned,berniesanders
tmj_oh_retail,realdonaldtrump
amybow1011,berniesanders
Kiaraaa___,berniesanders
MaybeSpotts,realdonaldtrump
garrettllyman,berniesanders
JeriStover,realdonaldtrump
TheBabyHolloway,hillaryclinton
sarah_0354,berniesanders
mr_batarseh,berniesanders
trentstepp,hillaryclinton
AriadnyRezende,berniesanders
hayleyann_01,berniesanders
bbrownsie,berniesanders
amaly075,
zulceeee,berniesanders
SamanthaMakoski,berniesanders
emdrko,hillaryclinton
Jholll4,berniesanders
crossclon,berniesanders
davionnee_,berniesanders
MrKevinSnyder,hillaryclinton
Jamesstevens051,
conner_pearce,hillaryclinton
dcampbellcw17,realdonaldtrump
LeahBates12,realdonaldtrump
allie_kristina_,berniesanders
FairfieldCoWx,berniesanders
kennashirk1,berniesanders
samdewey3,
