tmj_pit_transp,berniesanders
l3xxx_,berniesanders
AnashehM,
Beatty55,
laertonEDU,berniesanders
RotoUncleOdds,berniesanders
KimmieG7,realdonaldtrump
mandy_chetwood,berniesanders
polluelo_ars,berniesanders
CaitlinAshleyx,
THE_Schaefs,hillaryclinton
Torraps_news,hillaryclinton
WeirtonWX,hillaryclinton
SteubieTodd,hillaryclinton
JeffAceto,realdonaldtrump
cash_for_ASH,berniesanders
Emillizz,berniesanders
EricNMoody,hillaryclinton
TippinOnMy_Nick,berniesanders
TheFrontz,berniesanders
lynndell01,realdonaldtrump
dimayoni,berniesanders
BnTaNk38,berniesanders
kmthomp29,berniesanders
BraveMaggie,hillaryclinton
cassiemccoy2468,berniesanders
RichardMarmon2,berniesanders
740Pudge,berniesanders
eeeelen_,berniesanders
_moLESTER,berniesanders
xHomofaggot420x,hillaryclinton
TheRealHusky15,hillaryclinton
GeoffPecar17,hillaryclinton
CarterFornwalt,hillaryclinton
scottiep1979,berniesanders
osceolagoldinc,
kassaleen,berniesanders
luketenley,
bobbyjoflanagan,
GetYourCHEYneOn,berniesanders
pinatasexual,berniesanders
LindseyGreat15,berniesanders
shay_mirabella,
MikeyG027,
drizzysavvy_,berniesanders
tmj_pit_cstsrv,berniesanders
WitchesTouch,berniesanders
sierra_rose09,berniesanders
nikki_leeann96,realdonaldtrump
BRAIX3N,
sublimek1,hillaryclinton
hcathletics99,berniesanders
