jilliannraeee,
d3tennis,
dolfingrl1974,berniesanders
JoeyUptown,hillaryclinton
KByrd_71,berniesanders
CadenHarden24,berniesanders
miranda_pruitt1,berniesanders
SAXYback,berniesanders
SoclPsych,berniesanders
jorgeh_08,berniesanders
n_thompson5,
SpeedwayJobs,realdonaldtrump
hughes3ch,berniesanders
baleighm4,berniesanders
faith_moore27,hillaryclinton
AuthementC,berniesanders
rmarahs,hillaryclinton
henryoddi,realdonaldtrump
ThatGirlAbz,berniesanders
D3Northeast,berniesanders
Emm_Michell,
mazzocco_taco,realdonaldtrump
ColeBebout,realdonaldtrump
Kaitwhetstone,
cbebout2000,berniesanders
BigDawgSwifty13,hillaryclinton
tmj_chh_hrta,berniesanders
Hunter00Sammy,
khalil_amaya13,
AustinJohnson35,berniesanders
jamesleeharing1,berniesanders
josieball01,berniesanders
ComerMegan,
Ecrobinson15,
_day_see_,
Joshua_Nestorov,berniesanders
ZIRuckman18,berniesanders
TheSivGaming,berniesanders
andrewbarber88,hillaryclinton
DornRussell,berniesanders
ruthie_masonn,berniesanders
D_Litt02,berniesanders
MVMiddle,hillaryclinton
MaagiMagiMagiro,berniesanders
juliastaten,berniesanders
kenyonreview,berniesanders
iExzel,berniesanders
Raumulus,berniesanders
UMG_Apply_14k,berniesanders
Angler51Phil,
jc_chubb,berniesanders
GivensHistory,
Yeswicki,realdonaldtrump
facundopanda22,
JonnaSmith79,hillaryclinton
740d_eazy,berniesanders
DiamondCut1902,realdonaldtrump
RussellRNutt,realdonaldtrump
96Keyana,hillaryclinton
tmj_oh_nursing,berniesanders
knoxcoyoungdems,berniesanders
CRandyGamble,berniesanders
YorkEyecareOH,hillaryclinton
pierceoliatsix,berniesanders
KaleighSchiro,
jceEdwards3,berniesanders
MindyJWhited,berniesanders
tmj_chh_retail,berniesanders
