tommybbbbbbbbb,hillaryclinton
ecoughlin15,realdonaldtrump
arashi19995da,realdonaldtrump
Zambicandy,berniesanders
CarlitosM,berniesanders
misspaulling,berniesanders
jump_k_22,berniesanders
rey00123,berniesanders
JibranVarela,berniesanders
wedgepiece,berniesanders
dayna_macqueen,realdonaldtrump
SurlyPoet,berniesanders
_cayd,
pyneapplex,berniesanders
HallettJosh,berniesanders
elachancee,hillaryclinton
LifeOfLexa23,berniesanders
bossbrigitte,hillaryclinton
nhampshirefree,berniesanders
LenaKnotts,berniesanders
SidneyNicoleDew,realdonaldtrump
AmbetterNH,berniesanders
LWilsonDarlene,berniesanders
KslDesignsYT,realdonaldtrump
TheReelRivski,berniesanders
JOSEPHALIZIO,berniesanders
HayleyStrassel,hillaryclinton
wishkoi,berniesanders
HippieWiccan,realdonaldtrump
Shige_j_west,realdonaldtrump
LZoellick23,realdonaldtrump
HunterTSlaysP,realdonaldtrump
HayesDar,realdonaldtrump
ceaiirra,berniesanders
JonMcGibbon,berniesanders
JonathanThornt3,berniesanders
tovangar2,berniesanders
RoarLoud,
Idea4You,berniesanders
SamanthaG_14,
melikhovo,
serrraaaaaaa,realdonaldtrump
KDJFoxNH,berniesanders
larrysr19701,berniesanders
sammy_slavens,berniesanders
ryan_oneill2875,berniesanders
jpizzle_12,berniesanders
h_shmite,realdonaldtrump
Kindnesskru,realdonaldtrump
CherrierF88,realdonaldtrump
PlastipakJobs,berniesanders
AppleAnnie_2,berniesanders
kerryriiley,realdonaldtrump
brittanyshute18,
MarcAardvark,berniesanders
andrewraynornh,realdonaldtrump
TammyKosiancic,berniesanders
RebeliousManic,berniesanders
rhino_ryanotto,
leandradangeloo,
Maynard1Rick,berniesanders
wayne_saya,hillaryclinton
BrianMakin_86,berniesanders
cole_robertz,berniesanders
stfuhaley,berniesanders
MS_KIARADELGADO,realdonaldtrump
Evadam7,realdonaldtrump
reparziale,berniesanders
Philadelphia_24,berniesanders
burneryo_,
2480_love,berniesanders
