hopkins_anna07,hillaryclinton
Kindred_Jobs,realdonaldtrump
N_auri56,berniesanders
BTackett95,berniesanders
tesa210,berniesanders
Mellat145,berniesanders
lauborgne,berniesanders
laanneeer,berniesanders
_breee20,berniesanders
TrentRamsey2498,realdonaldtrump
bagdadinah,hillaryclinton
johngaytan,berniesanders
DopexUS,hillaryclinton
chloexxalyse,
alisonabser22,berniesanders
rockhoosier,berniesanders
tcomw,berniesanders
ShawnAbner,
YungTreX,berniesanders
CoryGardner2,berniesanders
PrexieKeyClub,berniesanders
1CahillDarb,
itsgama,realdonaldtrump
tmj_chh_mgmt,berniesanders
SchlechtMan13,berniesanders
Jordan_JJ21,
SaraShaeline,berniesanders
kaitrawls,
Relay_RTs,hillaryclinton
blakesummers_,berniesanders
faustineajms,berniesanders
BranOzzy,berniesanders
t_axline64,berniesanders
AshleyAbridged,
taylor3myers,
emmtramontana,realdonaldtrump
MooreAnnKay,
cjmitchell45,
ThatMuchowKid,berniesanders
shinobiboy76,
nick_davidson10,berniesanders
Adriannamock,berniesanders
TheMarionStar,berniesanders
arshep13,berniesanders
lmwiese,berniesanders
itsbrittdiazz3,
iJumpFences,hillaryclinton
price_caitlynn,realdonaldtrump
MorganSeckel04,berniesanders
OrionTheSquid,berniesanders
Theonlyethanray,berniesanders
wiccandragonfly,hillaryclinton
lisa_scott_OH,berniesanders
sarahhh_longoo,berniesanders
marionvans,berniesanders
bridgettheilman,berniesanders
laureanne_lecas,berniesanders
Tyrese_cobb,berniesanders
rustykaroljack,hillaryclinton
josie_morrow,berniesanders
ThisIsMoB_4,hillaryclinton
maddawg_44,realdonaldtrump
ashten_reagan,hillaryclinton
29BrewPub,hillaryclinton
NA8te_,hillaryclinton
logannnn_19,
OswaldRoberto,
psburton0,berniesanders
lucasjsptrop,berniesanders
DJ_Cyclone101,
livgill24,hillaryclinton
christielongo,berniesanders
meganmanshack11,berniesanders
Lexis_4235,
TyreeceHarris,berniesanders
