SecurComInc,realdonaldtrump
ChapmanAlex16,realdonaldtrump
BGSUGibbs,berniesanders
CONeill511,
NahuelGrippo,
liz_echternacht,hillaryclinton
McsobersDart,realdonaldtrump
Jerrdog_,
michelvenuto,berniesanders
RoniWilkinson2,hillaryclinton
TamiMohler,berniesanders
kelseyswann,berniesanders
darkmacabrx,hillaryclinton
MichelePaulsen1,
camrynwbu_,realdonaldtrump
Trappsouul,berniesanders
brockburgzztho,berniesanders
taylorhoman__,realdonaldtrump
ebbinglogan,hillaryclinton
Keep_It_Nasty,
withl0ve_hannah,berniesanders
GLMariners,hillaryclinton
SqueezeDavis,berniesanders
FRjuttej,berniesanders
trinityv1,realdonaldtrump
KaupPharmacy,
hjweigel,berniesanders
intronvm,
tobin_hannah10,berniesanders
Andynett3,berniesanders
mollymenker,berniesanders
KernsSuperCentr,berniesanders
theriot_hyatt,realdonaldtrump
brischulte12,hillaryclinton
BFosterMoney,berniesanders
drewbeggs0131,hillaryclinton
KaylaVorhees,hillaryclinton
anistonmoranxo,berniesanders
fleagle999,hillaryclinton
arielmrios,berniesanders
jonictheh1,
SaraChana1,berniesanders
Maguii200,berniesanders
KPS_Jake,
tannerkoch_13,berniesanders
benitezluijames,realdonaldtrump
noexcuseswAmber,berniesanders
K943Rocks,hillaryclinton
jypjsm,berniesanders
Nguyen111,hillaryclinton
HouseLiz,hillaryclinton
AccessibleShopp,hillaryclinton
tjpaulsen22,berniesanders
JacquiKremer,
nmicheal94,berniesanders
Agnemedina,
BlackGoldPet,berniesanders
Jonathon_Carnes,berniesanders
SteveFlaugher,berniesanders
_Deilos_,berniesanders
tmj_OHD_retail,
LizzyRios04,
TomasSturmer_,
bchurka3,
ElNico27,berniesanders
donaldjlewis,
