phoenixdriver,berniesanders
__key216,berniesanders
JustinFigel,
billyk14_,berniesanders
jordanhopson_,
Lilcuz_GL3,berniesanders
ARTELLIIA,berniesanders
jmillybabay_,berniesanders
MaddyAlexa15,berniesanders
Vexonyy,
SmallFryLogan,berniesanders
ceejay8808,berniesanders
Loyalty_b4Blood,berniesanders
DerekArnold88,berniesanders
GaydosStacey,berniesanders
Goldengloveace,berniesanders
87Dustin71,berniesanders
ChandlerFH,realdonaldtrump
LeffingwellDan,berniesanders
FlagCityFish,berniesanders
__adison,
Tony_Urdak10,berniesanders
CaptnMorgan100P,berniesanders
Elijah0412,berniesanders
NobleLocal_SD,berniesanders
shawsydneyyy_6,
Anxious_Gamer,berniesanders
welcometo_life,berniesanders
DerekZwick,berniesanders
taywest95,hillaryclinton
KelseyMckinzie,berniesanders
SandyDoudna,realdonaldtrump
NickWukelich,realdonaldtrump
MotorsThompson,berniesanders
zepshoops,
jenn_radd,berniesanders
BrentBeenBoutIt,
Dexta_Truuu,berniesanders
TheTyMoore,berniesanders
alibed66,berniesanders
krisssyranae23,
cavsfan1player,berniesanders
Matt_Zwick,berniesanders
MegaPlowers,
BriannaVanfosse,
EthanVin_99,hillaryclinton
LuckyLibra_oVo,berniesanders
barn30barn,berniesanders
BrooklynHowiler,hillaryclinton
magpie4411,berniesanders
