dolansftgomez,hillaryclinton
75homie,
xJulietVHeusen,realdonaldtrump
Awsten19,berniesanders
BolinTre,berniesanders
oonceagain,berniesanders
lefreque,
CF_EleanorMaay,berniesanders
Batmanfosho,realdonaldtrump
davidftmelo,berniesanders
TLCollier24,hillaryclinton
LifeIsLukeBryan,hillaryclinton
marina_x0,
xmasnyx,berniesanders
biebzzIy,
superpidge,berniesanders
barb20111,berniesanders
meghoilwala101,berniesanders
Lov3Machine90,berniesanders
Olivia_Hunter44,hillaryclinton
GageWilliams_1,realdonaldtrump
ViciconteMiLoca,
TackettA17,berniesanders
GLightle,berniesanders
onedayiwantyou,berniesanders
kenzieeshaelynn,
kristenzimmer13,
DontNosey,
kayslb_,berniesanders
beatlikesg,hillaryclinton
williamazing23,
brewster_32,hillaryclinton
misskbracey_,hillaryclinton
howardd10,berniesanders
Twickham06,berniesanders
ACreech22,berniesanders
hookyx,berniesanders
JBuck32,berniesanders
OneManArmy_10,berniesanders
_neuni,berniesanders
madi_chandler12,berniesanders
ENewton9,
iPhonedemica,berniesanders
jtaylor_jason,hillaryclinton
Harlie_Scarratt,berniesanders
luvmyjamesx,berniesanders
bradon_the_name,berniesanders
Susanne_taylor1,berniesanders
MsGstacksz,realdonaldtrump
MuMorganRoss,hillaryclinton
Laurennnn711,
brittylovesluke,
SkarpetkiNialla,berniesanders
buterunia,berniesanders
SamanthaTschudy,berniesanders
britpettit,hillaryclinton
