Anime_OTAKU55,hillaryclinton
WJTA889,berniesanders
Silent0502,hillaryclinton
Castnblaster,hillaryclinton
diegofc5,realdonaldtrump
LilVert15,berniesanders
mickymausmllb,hillaryclinton
alanghals6,berniesanders
ThatJoeeGuy,realdonaldtrump
HyperionNewU,berniesanders
lowlife4775,
krinajo,berniesanders
haley_gerten,hillaryclinton
NathanKortokrax,realdonaldtrump
SrtaDinoKawaiiC,berniesanders
Thomas_Otto27,berniesanders
40Covi,berniesanders
MalacaraAndy,berniesanders
Deppanneuse,realdonaldtrump
Lexisboyfriend,hillaryclinton
lola02731,
Farinurlaub606,berniesanders
sergYalla,hillaryclinton
NEOGAF420,hillaryclinton
ruxtab,realdonaldtrump
TireaAean,berniesanders
13angerangRufi0,berniesanders
rhysponsible,berniesanders
Choocox,
Zer0__Bot,hillaryclinton
imrankhanglobal,berniesanders
Lazy_Data,berniesanders
Grace_S_1212,
NAFEDUDE,berniesanders
MissJiinx,berniesanders
isma_kenji,hillaryclinton
NaiiVicious,hillaryclinton
MadisonB16,
littlemeow333,berniesanders
pmt97,berniesanders
The1TheBob,berniesanders
Alchemyca,berniesanders
TaylorKeeler2,realdonaldtrump
Lyraxan,hillaryclinton
Matthew___3,hillaryclinton
taylornlemon,berniesanders
sukkahrox,
Ferr_95,hillaryclinton
myjakeass,hillaryclinton
KoalaVillanueva,hillaryclinton
