tyler_howard_12,berniesanders
madisonrm15,berniesanders
SmashNOiZ,berniesanders
meblin_,berniesanders
tycory740,realdonaldtrump
2lowwTYLUHH,berniesanders
SuptS,berniesanders
SamBlackburnTR,berniesanders
JobsatVA,berniesanders
andytisd,
RobDeFino,berniesanders
kristinaxfritz,
whitleyariel34,realdonaldtrump
FaithFortune99,berniesanders
capt815,
t_demint,berniesanders
gleason_chick,berniesanders
Bruceleonard69,berniesanders
babyyunjae_,
Faithsmith2112,berniesanders
taylorolfe,hillaryclinton
rachyfoster12,
maleaa3,berniesanders
Bethieg09,berniesanders
94CountryWKKJ,berniesanders
ahleanah,berniesanders
_princess_sav,berniesanders
abigail_stark18,
Bfinley21,berniesanders
WhiteFaithBEAR,
dannyeagle7,berniesanders
moe_poppy,berniesanders
_judithartist,realdonaldtrump
joybells1966,hillaryclinton
RossHistSoc,berniesanders
DerekAFrancis,berniesanders
Haleymkifer,berniesanders
CDGoble,berniesanders
xoxo_abbee,hillaryclinton
rocco_roccogirl,berniesanders
Elice89Megan,berniesanders
THEWesMolebash,
cat_comma_allie,berniesanders
RealNameStoney,
KellyJoPlusSize,berniesanders
Tori_Nicole22,berniesanders
AnnaCosenza24,berniesanders
emstauff,realdonaldtrump
IINfinitePloY,berniesanders
coreyknisley_,
HaleyButter,realdonaldtrump
CCSDFrench,realdonaldtrump
Haffey08,berniesanders
PortiaABoulger,
9ce45e0c84b5476,berniesanders
Hice2k19,berniesanders
T_Flanigan1615,berniesanders
JeffreyRFisher,berniesanders
drotleff02,berniesanders
todd_lucas,
Tyfin2,
DylanDarden2,berniesanders
