LeahPass191,berniesanders
lolkierst,hillaryclinton
mmahaffie,hillaryclinton
Iveyywallace_,berniesanders
areweenie,berniesanders
ConnorMrrow,berniesanders
abbythornberg_,berniesanders
DerikTines_,berniesanders
jxhnsxlx,berniesanders
nyathoee,realdonaldtrump
MetroidPrimeRib,berniesanders
delawarefree,berniesanders
superr_sydd,realdonaldtrump
tinakat24,berniesanders
_madd1e_,berniesanders
xoxo1ex_,berniesanders
lgbt_lightwoods,berniesanders
trevor_michalak,hillaryclinton
_IMalThat,berniesanders
KatieKusters,berniesanders
Yagikidd57,berniesanders
lostt_treasuree,berniesanders
ivoryELLA_,realdonaldtrump
ecataldi_9,berniesanders
ElisabthGracie,realdonaldtrump
CHolton14,berniesanders
dzitofsky,berniesanders
edrebmann,berniesanders
BadAssSports2,hillaryclinton
kobland,
Mullen_sara,berniesanders
Meraaax,hillaryclinton
kristini_bikini,berniesanders
AudeleyCandice,
bathyaa,berniesanders
Coach_Haynie,berniesanders
WillieCorleone_,
Laurynnnnn20,berniesanders
paris_jordyn93,berniesanders
BeerThursdays,realdonaldtrump
purposeokok,berniesanders
__kingmeech,hillaryclinton
_ayeeitsannette,berniesanders
nicruhl,berniesanders
Kbrinae,realdonaldtrump
saintheidi_,berniesanders
FutureFamousG,
thornley02,realdonaldtrump
tharealclinton,berniesanders
IndigoYaj__,berniesanders
AmariWilford,
Larryputt,berniesanders
Drewzee_,berniesanders
_therealzee,berniesanders
macgirlie1982,realdonaldtrump
ManfredLakner,berniesanders
GamingAmun,berniesanders
LP_Delaware,berniesanders
stevemeredith21,berniesanders
allisonnvelardi,berniesanders
surayaummi,berniesanders
sherlyxx3,berniesanders
ThatBoyFernando,berniesanders
MissDelaware12,berniesanders
chockababy,hillaryclinton
WhensQ,berniesanders
RAPPAtata,realdonaldtrump
Sare_Its_a_Bear,berniesanders
_maddiej,berniesanders
lame______,
AutumAintSober,berniesanders
I_Love_Evie_2,
young__ambitous,berniesanders
Squeaky4377,berniesanders
OhHeyItsJay13,berniesanders
___Ymani,realdonaldtrump
gonerphan,berniesanders
sunrise_ohio,
sblank12,berniesanders
kyan21,
CelestRodrigeuz,berniesanders
_itsliittt,berniesanders
chris_crops,berniesanders
crashlandrey,realdonaldtrump
DoesUselessWork,berniesanders
Im_the_priMARY,realdonaldtrump
toasterposey,realdonaldtrump
Church_Boi_12,realdonaldtrump
lilmad__,berniesanders
rtmotr,berniesanders
MelaninDaj,berniesanders
PapersNoFilters,realdonaldtrump
Killerbanana_16,berniesanders
