flow349,
MattDeLa,realdonaldtrump
KhaiyoFiqry,berniesanders
achikaziq,berniesanders
eberts_gaga17,
94MTMcKinniss,
SydneeyDaviis,
ekisor_27,berniesanders
Fer4sCr4ft,hillaryclinton
cvmilasux,berniesanders
BrooklynYah,berniesanders
brexanna,hillaryclinton
noaha0000,berniesanders
KitKatRawrr,hillaryclinton
maxlasker,realdonaldtrump
DeuceForThree_,berniesanders
12_syd,berniesanders
CynthiaHall2,
sugar3598,berniesanders
JillianDavid13,berniesanders
rnsheehan,berniesanders
Blinkyy_xoxo,berniesanders
HannahSowers21,berniesanders
leahblevins_,berniesanders
weakforziam,berniesanders
Anas_NajmudDin,realdonaldtrump
kbugjones09,berniesanders
Layton_Ridgeway,berniesanders
decota_13_,berniesanders
goldenhennessy,berniesanders
iPhone_aru2,berniesanders
cdilly23,berniesanders
MsDonnaFoster,berniesanders
DianaBacilio99,hillaryclinton
Ronoo_,berniesanders
unionjack45692,hillaryclinton
iphoneust,realdonaldtrump
Al1138,hillaryclinton
SaraMohamed123,
mode_mohamad,berniesanders
travisjayjohn,berniesanders
sydneyyllauren,berniesanders
kiijouj,realdonaldtrump
isisgaston,realdonaldtrump
kamrynnn_xoxo,berniesanders
ChristaAyannaa,berniesanders
Moe_Knee,berniesanders
Lauren_N95,realdonaldtrump
BlakeWysocki,berniesanders
francog13_,berniesanders
bricerobo,berniesanders
hermeticmtn,berniesanders
