maddierose_12,
Keck_Maddie,berniesanders
brishort20,berniesanders
1037CKY,
AlexiahBieber,berniesanders
laurencestjohn,berniesanders
AllyWanstedt,berniesanders
SierraFreeman5,berniesanders
JFleshyFlesh76,berniesanders
jenn_leitch,berniesanders
d_alyse8,berniesanders
Britt_Greenler,berniesanders
hannahmousaw,
ywoono1,berniesanders
miles_baird,
cierra_marie29,berniesanders
OliviaTusko,berniesanders
FranzKarate,
LaneyBaldwin,hillaryclinton
bellacercone,berniesanders
3drenderbot,
RossanaCondoleo,berniesanders
clay_oneal,berniesanders
ackley_danny,berniesanders
rwittler00,berniesanders
cassilwyse,berniesanders
elllie_scott,berniesanders
goldenxchildd,berniesanders
_ALOCABY,hillaryclinton
livtho21,berniesanders
chaela520,berniesanders
kimr1075,berniesanders
GarrettSpy,berniesanders
Sadiemae_,realdonaldtrump
TraceyRaceFan24,hillaryclinton
emmakhandaker,
AuthorJude_O,realdonaldtrump
_lilymarie_,berniesanders
emhubby,realdonaldtrump
MeshFactory,berniesanders
HScholma,berniesanders
Dat_Dude_TC,berniesanders
_court_vollmer,berniesanders
madimay2000,
JayVald20,berniesanders
Maddie_Stockman,berniesanders
JessicaHaley_G,berniesanders
bnturner95,berniesanders
SolMage,hillaryclinton
rootgrime45,berniesanders
GageVermillion,
hook_matt,berniesanders
BrocEvans,
kenofziger,berniesanders
AdubWheezy,hillaryclinton
thehannjane,berniesanders
Bennybucklew22,realdonaldtrump
cogar_morgan,berniesanders
JLaney92,berniesanders
bms_blake,berniesanders
19VanessaV,berniesanders
SantaRita_M,berniesanders
weatherheadm,berniesanders
sheba4005,berniesanders
Dilpickle1,
Elit2313,
tanyakelley2003,hillaryclinton
Evan2Smith,berniesanders
wpuff5_era,berniesanders
ryanninbryan,
Surfer620311,berniesanders
KayleaBowers,berniesanders
