"{""follow_request_sent"": false, ""has_extended_profile"": true, ""profile_use_background_image"": true, ""profile_text_color"": ""333333"", ""default_profile_image"": false, ""id"": 2305689438, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": null, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/506248540553629696/rlVs19Il_normal.jpeg"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""entities"": {""description"": {""urls"": []}}, ""followers_count"": 79, ""profile_sidebar_border_color"": ""C0DEED"", ""id_str"": ""2305689438"", ""profile_background_color"": ""C0DEED"", ""listed_count"": 9, ""status"": {""contributors"": null, ""truncated"": false, ""text"": ""burned 133 calories doing 45 minutes of Cleaning, light #myfitnesspal"", ""is_quote_status"": false, ""in_reply_to_status_id"": null, ""id"": 729338995050721281, ""favorite_count"": 0, ""source"": ""<a href=\""http://www.myfitnesspal.com\"" rel=\""nofollow\"">MyFitnessPal</a>"", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [], ""hashtags"": [{""indices"": [56, 69], ""text"": ""myfitnesspal""}], ""urls"": []}, ""in_reply_to_screen_name"": null, ""in_reply_to_user_id"": null, ""retweet_count"": 0, ""id_str"": ""729338995050721281"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": null, ""lang"": ""en"", ""created_at"": ""Sun May 08 15:55:41 +0000 2016"", ""in_reply_to_status_id_str"": null, ""place"": null}, ""is_translation_enabled"": false, ""utc_offset"": null, ""statuses_count"": 3416, ""description"": """", ""friends_count"": 47, ""location"": """", ""profile_link_color"": ""0084B4"", ""profile_image_url"": ""http://pbs.twimg.com/profile_images/506248540553629696/rlVs19Il_normal.jpeg"", ""following"": false, ""geo_enabled"": true, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/2305689438/1390754063"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""name"": ""anne semisch"", ""lang"": ""en"", ""profile_background_tile"": false, ""favourites_count"": 7919, ""screen_name"": ""ASemisch"", ""notifications"": false, ""url"": null, ""created_at"": ""Thu Jan 23 00:45:00 +0000 2014"", ""contributors_enabled"": false, ""time_zone"": null, ""protected"": false, ""default_profile"": true, ""is_translator"": false}"
"burned 133 calories doing 45 minutes of Cleaning, light #myfitnesspal"
"My fitbit #Fitstats_en_US for 5/07/2016: 9,834 steps and 4.1 miles traveled. https://t.co/s6RjJq1equ"
lost 0.2 lbs since her last weigh-in! Annesemisch7's lost 10 lbs so far. #myfitnesspal
"My fitbit #Fitstats_en_US for 5/06/2016: 10,796 steps and 4.4 miles traveled. https://t.co/s6RjJq1equ"
completed her food and exercise diary for 5/06/2016 and was under her calorie goal https://t.co/W5z58Z5XJ8 #myfitnesspal
#dreamfearlessly https://t.co/MFLqlxnkFU
"burned 178 calories doing 34 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 5/05/2016: 10,183 steps and 4.2 miles traveled. https://t.co/s6RjJq1equ"
I walked 2.07 mi with @mapmywalk. https://t.co/DSqaR2BNu8 #walk #walking
"burned 173 calories doing 34 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 5/04/2016: 15,483 steps and 6.4 miles traveled. https://t.co/s6RjJq1equ"
#dreamfearlessly https://t.co/W5NGTbOED0
#dreamfearlessly https://t.co/Q2e9OeI7fq
"burned 175 calories doing 35 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 5/03/2016: 14,449 steps and 5.9 miles traveled. https://t.co/s6RjJpJDyW"
@USAforTrump2016 thanks Indiana!
#dreamfearlessly https://t.co/fVIqcfvWCQ
#dreamfearlessly https://t.co/E8EKxjKORM
"burned 175 calories doing 34 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 5/02/2016: 10,222 steps and 4.2 miles traveled. https://t.co/s6RjJq1equ"
I just earned the first workout award in the Take It Outside Challenge on @MapMyFitness. https://t.co/M2POTSkiIg
#dreamfearlessly https://t.co/JAnsobwDc5
"burned 173 calories doing 35 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 5/01/2016: 6,048 steps and 2.5 miles traveled. https://t.co/s6RjJq1equ"
"burned 415 calories doing 46 minutes of Bicycling, stationary #myfitnesspal"
@USAforTrump2016 go Indiana!!
"My fitbit #Fitstats_en_US for 4/30/2016: 5,174 steps and 2.1 miles traveled. https://t.co/s6RjJq1equ"
"My fitbit #Fitstats_en_US for 4/29/2016: 8,594 steps and 3.5 miles traveled. https://t.co/s6RjJq1equ"
#dreamfearlessly https://t.co/O3FLDk1zKh
"burned 177 calories doing 34 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 4/28/2016: 10,689 steps and 4.4 miles traveled. https://t.co/s6RjJq1equ"
#dreamfearlessly https://t.co/M8sdCWE2sJ
"burned 172 calories doing 34 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 4/27/2016: 10,565 steps and 4.3 miles traveled. https://t.co/s6RjJq1equ"
#dreamfearlessly https://t.co/bhYvU8A68b
"burned 175 calories doing 34 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 4/26/2016: 11,632 steps and 4.8 miles traveled. https://t.co/s6RjJq1equ"
https://t.co/zlYbbrhCML
#dreamfearlessly https://t.co/RhrpTELUMV
"burned 174 calories doing 35 minutes of Walking, with dog #myfitnesspal"
"My fitbit #Fitstats_en_US for 4/25/2016: 14,517 steps and 6 miles traveled. https://t.co/s6RjJpJDyW"
#dreamfearlessly https://t.co/bniLmOALgf
