"{""follow_request_sent"": false, ""has_extended_profile"": true, ""profile_use_background_image"": false, ""profile_text_color"": ""000000"", ""default_profile_image"": false, ""id"": 1052096910, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme14/bg.gif"", ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": null, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/729211548737003520/HdrCwUhf_normal.jpg"", ""profile_sidebar_fill_color"": ""000000"", ""entities"": {""url"": {""urls"": [{""url"": ""https://t.co/Ai3MxoXZc2"", ""indices"": [0, 23], ""expanded_url"": ""http://www.facebook.com/dario.witer.1"", ""display_url"": ""facebook.com/dario.witer.1""}]}, ""description"": {""urls"": []}}, ""followers_count"": 1399, ""profile_sidebar_border_color"": ""000000"", ""id_str"": ""1052096910"", ""profile_background_color"": ""000000"", ""listed_count"": 21, ""status"": {""contributors"": null, ""truncated"": false, ""text"": ""@MoviesSilently \ud83d\ude1d \ud83d\ude01"", ""is_quote_status"": false, ""in_reply_to_status_id"": 729465852068700160, ""id"": 729466215073124352, ""favorite_count"": 1, ""source"": ""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>"", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [{""id"": 1140601705, ""indices"": [0, 15], ""id_str"": ""1140601705"", ""screen_name"": ""MoviesSilently"", ""name"": ""Movies Silently""}], ""hashtags"": [], ""urls"": []}, ""in_reply_to_screen_name"": ""MoviesSilently"", ""in_reply_to_user_id"": 1140601705, ""retweet_count"": 0, ""id_str"": ""729466215073124352"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": ""1140601705"", ""lang"": ""und"", ""created_at"": ""Mon May 09 00:21:13 +0000 2016"", ""in_reply_to_status_id_str"": ""729465852068700160"", ""place"": null}, ""is_translation_enabled"": false, ""utc_offset"": -25200, ""statuses_count"": 48884, ""description"": ""Hispanophiles, Cruztards, Rubiotards, Hillarytards, Bentards, Bernietards, and  Islamophiles are banned from this account."", ""friends_count"": 2305, ""location"": ""California"", ""profile_link_color"": ""3B94D9"", ""profile_image_url"": ""http://pbs.twimg.com/profile_images/729211548737003520/HdrCwUhf_normal.jpg"", ""following"": false, ""geo_enabled"": true, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/1052096910/1462692554"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme14/bg.gif"", ""name"": ""Dario Witer"", ""lang"": ""en"", ""profile_background_tile"": false, ""favourites_count"": 23542, ""screen_name"": ""DarioWiter1"", ""notifications"": false, ""url"": ""https://t.co/Ai3MxoXZc2"", ""created_at"": ""Tue Jan 01 08:02:06 +0000 2013"", ""contributors_enabled"": false, ""time_zone"": ""America/Los_Angeles"", ""protected"": false, ""default_profile"": false, ""is_translator"": false}"
@MoviesSilently 😝 😁
"@1CorazonDelator Para mucha gente, ese conjunto fue muy popular durante los años 80.  😁"
It would seem that America is not the ONLY one with this problem. https://t.co/6NCjxX1tKs
"@teed_chris Social conservatives like me should also beware of the Dems; they are currently America's No. 1 enemy now, along with Islam.  😒"
YUP!!!!!  😒 https://t.co/1b3WqNO9FM
@RaisethePride Welcome aboard!  😁
@CharlotteOnder1 @mlong42947 As don't forget non-aggressive and uncharissmatic(sp?) as heck against Obama.  😒
"@PhdFor @Hyem12 @LodiSilverado The Brits need to fight back and kick the crap out of Muslims, PERIOD!!!!!  👎👎👎👎👎  😡😡😡😡😡"
We need to do it here in L.A. as well.  Minorities have destroyed American education through their stupidity &amp; gall. https://t.co/nZDCxJCrQX
"And, America's future, unfortunately.  😒 https://t.co/2OCKk6k5Xw"
@metalsnews Welcome!  😁
@Tnspud1 Welcome aboard!  😁
Unless you're Mexican or Mexican-American.  😒 https://t.co/HVhoDBMUZv
"Vote for Trump now, folks, if you don't want borderless nation-states to exist! https://t.co/2cz5VDgvAg"
Ditto!  😁 https://t.co/50SEbIdUq7
"My goodness!  I'm glad David Cameron isn't American, and, a politician! https://t.co/m1HPq2eDtS"
"What a hypocritical jerk!  He claims to support the common man, and yet, he was at the Derby!  Dumbass!  😣😣😣😣😣 https://t.co/inOVGBbdCC"
"@NEFamilyFun You're welcome, dear lady!  😉 😃"
"New day, new tweets, new stats. 2 followers, 8 unfollowers. Via good old https://t.co/L6jejSi2Gy"
"Commietard(Bernie Sanders)needs to be destroyed, folks!  Vote now!  😁 👍 https://t.co/3kZpC5Fhlb"
What adorable children!  😃 ❤ https://t.co/S2SuXc52rP
Forza azurri!  ✌ 😁 https://t.co/vmIjZa77jv
Reality has never been a strong suit for either Bill or Hillary.  😒 https://t.co/PpCtASeVZs
"And crush the 🐴💩 out of her, once &amp; for all!  😡😡😡😡😡 https://t.co/nKPhDfVjh8"
"@3QCooks Oh God, that looks good!  😁"
"Maybe America should say that Vicente Fox is a ""hated gringo.""  😒 https://t.co/GOUzHqVPbT"
"Exactly!  They've screwed American politics and the people since January 20, 1993. https://t.co/AMGhTLW7KE"
"Macri debería decir ""Estamos estancados desde varios décadas y muchos han emigrado del país desde 1955."" https://t.co/z6egeaxZbu"
@TheFoundingSon Thanks for the follow back!  😁
I've said this maxim before and I'll say it again: Islam needs to be obliterated from the face of the earth.  😒😒😒😒😒 https://t.co/gX2ITD9U9B
"@tomleykis @NYDNSports They would feel right at home in 'Frisco, the ""fruitiest"" place on earth!  😉 😁"
¡¡¡¡¡VIVA LA PATRIA!!!!!  👍👍👍👍👍  😁😁😁😁😁 https://t.co/KT9YpBiijt
"Inquiring minds ALWAYS want to know, Linda.  😉 😁 https://t.co/Xk4b4M4tAc"
The planet Mercury will pass by Earth's orbit during the overnight of Monday morning.  😁  ✨✨✨ https://t.co/ySfk2PI3uK
Well.....💩 happens!   😝 😁 https://t.co/4oNuHhOcJX
"NOTHING!!!!!  That's what's ""wrong"" with it!  😏 https://t.co/GOZNpNbceB"
I've always loved pictures like this!  😁 ⚽ https://t.co/L6PDWNYAZz
"@123GreetingsCom YOU'RE AN AMERICAN COMPANY, FOR CHRIST SAKES!!!!!  STOP SHOWING TWEETS LIKE THIS, DUMMIES!!!!!  😡😡😡😡😡"
"@FerroOficial @ClubBocaUnidos ¡Buena suerte, Ferro!  😁 👍"
Central America and the northern part of South America should also pay for it as well. https://t.co/9VAkb2PMhH
@Bullitino @Jailerma @Stonewall_77 Human rights 💩heads like this moral fool should be condemned for being contemptible.
La razón por que la economía argentina malfunciona desde múltiple décadas y los expatriotas que produce mientras.  😒 https://t.co/XJO2PwXLik
"Goodness!  I just had a ""Deja Vu"" moment; I thought this tweet read ""chain smokers.""  😝 😁 https://t.co/USRlON3Zrs"
@OnlyHotyP I'll bet Neil Cavuto is one of them.  😉 😏
@ActualidadRT Los griegos deben rechazar todo tipo de ideología izquierda del centro; continuarán marginalizado si lo no hagan.  😒
"@Cris_telefe @PoliticaClarin @clarincom Tristemente hablando, la realidad dicta otra cosa.  😒"
YES!!!!!  ✌👍✌👍✌👍✌👍✌👍  😁😁😁😁😁 https://t.co/I7tMUvk5UL
😂😂😂😂😂 https://t.co/ORC5IqCO1T
@KimHarm63660098 @diggerchad @realDonaldTrump @DanScavino @DonaldsAngel 👍 😁
Why California government on all levels needs to be overthrown by the U.S. Armed Forces. https://t.co/TGOJjxuHul
😝 😁 https://t.co/wNfWb2j5LD
"¡Buena suerte, Canalla!  👍 😁 https://t.co/XqDTP7hTts"
@BevMo Is it me or does that beverage look like cooking oil?  😝 😁
NONE.....that's who!  😏 https://t.co/bSekkJYiPc
"The more we Trumpsters believe in The Donald, the more American media discredit themselves.  😒 https://t.co/rtF5jgBH39"
